,State,Gun Violence Events,accidental_deaths,accidental_deaths_children,accidental_deaths_teens,accidental_injuries,accidental_injuries_children,accidental_injuries_teens,children_injured,children_killed,mass_shootings_2014,mass_shootings_2015,mass_shootings_2016,mass_shootings_all,officer_involved_shootings,teens_injured,teens_killed,Unnamed: 0,Population,income per capita,unemployment_rate(%),poverty_rate(%),no_college_education_rate(%)
37,Oregon,53.0,5.0,1.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,11.0,3.0,13.0,0.0,0.0,3.0,37.0,3900343.0,27173.0,5.287278580371009,16.378456971604805,14.42324431466668
38,Pennsylvania,141.0,24.0,6.0,17.0,0.0,0.0,0.0,2.0,22.0,4.0,7.0,15.0,20.0,0.0,2.0,22.0,38.0,12758729.0,28912.0,4.361468920611136,13.072289567401267,23.184002105538877
39,Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1053252.0,30765.0,5.104286533517144,13.671561981368182,16.676730734904847
40,South Carolina,128.0,16.0,8.0,10.0,2.0,2.0,1.0,5.0,21.0,10.0,20.0,4.0,10.0,0.0,2.0,17.0,40.0,4727273.0,24222.0,5.122297781405897,17.772212436218513,17.919697043094402
41,South Dakota,32.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,0.0,6.0,0.0,0.0,2.0,41.0,834708.0,26311.0,2.5594579182181074,13.71066289049584,18.058171240721308
42,Tennessee,127.0,17.0,14.0,11.0,0.0,2.0,2.0,3.0,21.0,8.0,14.0,4.0,9.0,1.0,2.0,19.0,42.0,6451365.0,24811.0,4.60087128847926,17.38149988413305,18.88913431498605
43,Texas,419.0,46.0,20.0,35.0,4.0,1.0,2.0,11.0,95.0,25.0,41.0,36.0,52.0,5.0,2.0,44.0,43.0,26092033.0,26513.0,3.765823843623071,17.24677413983035,14.213840676960665
44,Utah,30.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,2858111.0,24312.0,3.349694955864205,12.549617562089086,12.18196214212814
45,Vermont,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,45.0,626358.0,29535.0,3.4553721673547715,11.50204834934654,19.069924867248442
46,Virginia,114.0,14.0,7.0,3.0,0.0,0.0,0.0,3.0,35.0,12.0,2.0,14.0,14.0,0.0,1.0,9.0,46.0,8185131.0,33958.0,3.5834490614750085,11.169485253198758,15.024756476102825
47,Washington,81.0,7.0,0.0,6.0,0.0,0.0,1.0,0.0,10.0,6.0,0.0,21.0,21.0,0.0,0.0,9.0,47.0,6899123.0,31233.0,4.4781778785506505,13.282325884029028,13.859544176846823
48,West Virginia,17.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,48.0,1853881.0,23237.0,3.6159278831812833,17.59686840741126,24.585450738208124
49,Wisconsin,61.0,16.0,2.0,6.0,0.0,0.0,0.0,0.0,17.0,0.0,6.0,3.0,3.0,1.0,0.0,7.0,49.0,5724692.0,27907.0,3.872033639539035,12.901253028110506,19.956025581812966
50,Wyoming,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,575251.0,29381.0,2.772702698474232,11.346525255931757,16.174157020152947
